run_id	exp_id	profile	stage	status	return_code	family	model_id	corpus_id	dataset_id	view	train_prop	axis_values_json	make_vars_json	overrides_json	metrics_path	log_path	started_at	finished_at	duration_s	TRAIN_PROP	axis_balance	axis_family_model	axis_train_prop
ideo_learning_curve_run_000014	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.4	"{""train_prop"": ""tp_0.4"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.4"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.4, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000014.log	1764161837.2318952	1764161838.2327278	1.0008471012115479	0.4	no_balance	spacy_cnn	tp_0.4
ideo_learning_curve_run_000015	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.4	"{""train_prop"": ""tp_0.4"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.4"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.4, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000015.log	1764161838.2334733	1764161839.2342787	1.0008199214935303	0.4	oversample_parity	spacy_cnn	tp_0.4
ideo_learning_curve_run_000016	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.5	"{""train_prop"": ""tp_0.5"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.5"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.5, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000016.log	1764161839.2350242	1764161840.2358344	1.0008256435394287	0.5	no_balance	sklearn_svm	tp_0.5
ideo_learning_curve_run_000017	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.5	"{""train_prop"": ""tp_0.5"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.5"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.5, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000017.log	1764161840.2365694	1764161841.2374022	1.0008471012115479	0.5	oversample_parity	sklearn_svm	tp_0.5
ideo_learning_curve_run_000018	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.5	"{""train_prop"": ""tp_0.5"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.5"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.5, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000018.log	1764161841.238156	1764161842.239079	1.0009369850158691	0.5	no_balance	spacy_cnn	tp_0.5
ideo_learning_curve_run_000019	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.5	"{""train_prop"": ""tp_0.5"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.5"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.5, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000019.log	1764161842.2398243	1764161843.2407203	1.0009114742279053	0.5	oversample_parity	spacy_cnn	tp_0.5
ideo_learning_curve_run_000020	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.6	"{""train_prop"": ""tp_0.6"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.6"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.6, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000020.log	1764161843.2414587	1764161844.2422311	1.0007872581481934	0.6	no_balance	sklearn_svm	tp_0.6
ideo_learning_curve_run_000021	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.6	"{""train_prop"": ""tp_0.6"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.6"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.6, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000021.log	1764161844.2430246	1764161845.24376	1.0007517337799072	0.6	oversample_parity	sklearn_svm	tp_0.6
ideo_learning_curve_run_000022	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.6	"{""train_prop"": ""tp_0.6"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.6"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.6, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000022.log	1764161845.2445433	1764161846.2453356	1.000807285308838	0.6	no_balance	spacy_cnn	tp_0.6
ideo_learning_curve_run_000023	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.6	"{""train_prop"": ""tp_0.6"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.6"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.6, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000023.log	1764161846.2461133	1764161847.2472901	1.001187801361084	0.6	oversample_parity	spacy_cnn	tp_0.6
